CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Tenure Months,Monthly Charges,Total Charges,Avg Monthly Spend,Churn Score,Churn Label,Churn Value,CLTV,Customer Tenure Group,High Value Customer,Service Utilization,Churn Reason,Churn Reason Cleaned,Churn Reason Grouped,Streaming Services,Electronic Check User,Autopay User,Support Score
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,53.85,108.15,54.075,86,Yes,1,3239,Short Term,No,Few,Competitor made better offer,Competitor made better offer,Competition,No,0,0,1
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,70.7,151.65,75.825,67,Yes,1,2701,Short Term,No,Few,Moved,Moved,Other,No,1,0,0
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,8,99.65,820.5,102.5625,86,Yes,1,5372,Short Term,No,Multiple,Moved,Moved,Other,Yes,1,0,1
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,28,104.8,3046.05,108.78750000000001,84,Yes,1,5003,Medium Term,No,Multiple,Moved,Moved,Other,Yes,1,0,2
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49,103.7,5036.3,102.78163265306122,89,Yes,1,5340,Long Term,No,Multiple,Competitor had better devices,Competitor had better devices,Competition,Yes,0,1,1
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),10,55.2,528.35,52.835,78,Yes,1,5925,Short Term,Yes,Few,Competitor offered higher download speeds,Competitor offered higher download speeds,Competition,No,0,1,2
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,39.65,39.65,39.65,100,Yes,1,5433,Short Term,Yes,Few,Competitor offered more data,Competitor offered more data,Competition,Yes,1,0,1
1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Male,No,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,20.15,20.15,20.15,92,Yes,1,4832,Short Term,No,Few,Competitor made better offer,Competitor made better offer,Competition,No,0,0,0
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,99.35,4749.15,101.04574468085106,77,Yes,1,5789,Medium Term,Yes,Multiple,Competitor had better devices,Competitor had better devices,Competition,Yes,1,0,0
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,30.2,30.2,30.2,97,Yes,1,2915,Short Term,No,Few,Competitor had better devices,Competitor had better devices,Competition,No,1,0,0
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,17,64.7,1093.1,64.3,74,Yes,1,3022,Medium Term,No,Few,Competitor offered higher download speeds,Competitor offered higher download speeds,Competition,Yes,0,0,0
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5,69.7,316.9,63.379999999999995,66,Yes,1,2454,Short Term,No,Few,Competitor offered higher download speeds,Competitor offered higher download speeds,Competition,No,1,0,0
5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,106.35,3549.25,104.38970588235294,65,Yes,1,2941,Medium Term,No,Multiple,Competitor offered higher download speeds,Competitor offered higher download speeds,Competition,Yes,1,0,1
8168-UQWWF,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),11,97.85,1105.4,100.4909090909091,70,Yes,1,5674,Short Term,Yes,Multiple,Competitor offered more data,Competitor offered more data,Competition,Yes,0,1,1
7760-OYPDY,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2,80.65,144.15,72.075,90,Yes,1,5586,Short Term,Yes,Few,Competitor offered more data,Competitor offered more data,Competition,Yes,1,0,0
9420-LOJKX,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,Female,No,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),15,99.1,1426.4,95.09333333333333,82,Yes,1,2966,Medium Term,No,Multiple,Competitor offered more data,Competitor offered more data,Competition,Yes,0,1,1
7495-OOKFY,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),8,80.65,633.3,79.1625,69,Yes,1,5302,Short Term,No,Few,Competitor made better offer,Competitor made better offer,Competition,No,0,1,0
1658-BYGOY,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,Male,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,18,95.45,1752.55,97.36388888888888,81,Yes,1,3179,Medium Term,No,Few,Competitor made better offer,Competitor made better offer,Competition,Yes,1,0,0
5698-BQJOH,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,9,94.4,857.25,95.25,96,Yes,1,5571,Short Term,Yes,Few,Price too high,Price too high,Pricing,Yes,1,0,0
5919-TMRGD,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,79.35,79.35,79.35,87,Yes,1,2483,Short Term,No,Few,Product dissatisfaction,Product dissatisfaction,Service Issues,Yes,1,0,0
